timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1695071498796,89,view available,200,OK,Thread Group 1-1984,text,true,,218,401,1909,1909,http://34.159.148.128/api/Appointment/availableSlots?resourceName=mangoco&serviceName=manga-collecting&date=2023-09-22T11:30:48,89,0,0
1695071498798,89,get services,200,OK,Thread Group 1-1124,text,true,,244,323,1910,1910,http://34.159.148.128/api/Service/get?companyId=3,89,0,0
1695071494428,4459,view available,200,OK,Thread Group 1-707,text,true,,218,401,1910,1910,http://34.159.148.128/api/Appointment/availableSlots?resourceName=mangoco&serviceName=manga-collecting&date=2023-09-22T11:30:48,4459,0,0
1695071498448,440,view books,200,OK,Thread Group 1-1296,text,true,,276,381,1910,1910,http://34.159.148.128/api/Appointment/bookedAppointements?resourceName=mangoco&serviceName=manga-collecting,440,0,0
1695071498470,421,get services,200,OK,Thread Group 1-1867,text,true,,244,323,1911,1911,http://34.159.148.128/api/Service/get?companyId=3,421,0,0
1695071495724,3167,view block times,200,OK,Thread Group 1-893,text,true,,218,342,1911,1911,http://34.159.148.128/api/Appointment/blocktime?resourceName=mangoco,3167,0,0
1695071498289,606,get services,200,OK,Thread Group 1-1344,text,true,,244,323,1911,1911,http://34.159.148.128/api/Service/get?companyId=3,606,0,0
1695071497733,1162,view available,200,OK,Thread Group 1-1717,text,true,,218,401,1911,1911,http://34.159.148.128/api/Appointment/availableSlots?resourceName=mangoco&serviceName=manga-collecting&date=2023-09-22T11:30:48,1162,0,0
1695071498092,805,login,200,OK,Thread Group 1-2417,text,true,,327,288,1912,1912,http://34.159.148.128/api/Account/login,805,0,199
1695071498804,94,view books,200,OK,Thread Group 1-1927,text,true,,276,381,1913,1913,http://34.159.148.128/api/Appointment/bookedAppointements?resourceName=mangoco&serviceName=manga-collecting,94,0,0
1695071498803,98,view block times,200,OK,Thread Group 1-2098,text,true,,218,342,1913,1913,http://34.159.148.128/api/Appointment/blocktime?resourceName=mangoco,97,0,0
1695071498806,96,view available,200,OK,Thread Group 1-1641,text,true,,218,401,1913,1913,http://34.159.148.128/api/Appointment/availableSlots?resourceName=mangoco&serviceName=manga-collecting&date=2023-09-22T11:30:48,96,0,0
1695071498399,505,view block times,200,OK,Thread Group 1-2070,text,true,,218,342,1913,1913,http://34.159.148.128/api/Appointment/blocktime?resourceName=mangoco,505,0,0
1695071497337,1567,login,200,OK,Thread Group 1-2166,text,true,,327,288,1913,1913,http://34.159.148.128/api/Account/login,1567,0,1163
1695071497981,927,view books,200,OK,Thread Group 1-2136,text,true,,276,381,1914,1914,http://34.159.148.128/api/Appointment/bookedAppointements?resourceName=mangoco&serviceName=manga-collecting,927,0,0
1695071497572,1336,login,200,OK,Thread Group 1-2244,text,true,,327,288,1914,1914,http://34.159.148.128/api/Account/login,1336,0,179
1695071496396,2513,login,200,OK,Thread Group 1-1852,text,true,,327,288,1914,1914,http://34.159.148.128/api/Account/login,2513,0,1192
1695071498195,714,view available,200,OK,Thread Group 1-742,text,true,,218,401,1914,1914,http://34.159.148.128/api/Appointment/availableSlots?resourceName=mangoco&serviceName=manga-collecting&date=2023-09-22T11:30:48,714,0,0
1695071498819,92,get services,200,OK,Thread Group 1-2018,text,true,,244,323,1915,1915,http://34.159.148.128/api/Service/get?companyId=3,92,0,0
1695071496783,2129,get services,200,OK,Thread Group 1-1851,text,true,,244,323,1915,1915,http://34.159.148.128/api/Service/get?companyId=3,2129,0,0
1695071498821,93,get services,200,OK,Thread Group 1-2387,text,true,,244,323,1916,1916,http://34.159.148.128/api/Service/get?companyId=3,93,0,0
1695071498826,91,view books,200,OK,Thread Group 1-1286,text,true,,276,381,1917,1917,http://34.159.148.128/api/Appointment/bookedAppointements?resourceName=mangoco&serviceName=manga-collecting,91,0,0
1695071498828,89,view books,200,OK,Thread Group 1-1935,text,true,,276,381,1917,1917,http://34.159.148.128/api/Appointment/bookedAppointements?resourceName=mangoco&serviceName=manga-collecting,89,0,0
1695071498826,91,get services,200,OK,Thread Group 1-1807,text,true,,244,323,1917,1917,http://34.159.148.128/api/Service/get?companyId=3,91,0,0
1695071498328,592,get services,200,OK,Thread Group 1-2203,text,true,,244,323,1918,1918,http://34.159.148.128/api/Service/get?companyId=3,592,0,0
1695071497500,1421,login,200,OK,Thread Group 1-2220,text,true,,327,288,1918,1918,http://34.159.148.128/api/Account/login,1421,0,192
1695071497503,1420,login,200,OK,Thread Group 1-2221,text,true,,327,288,1919,1919,http://34.159.148.128/api/Account/login,1420,0,192
1695071494719,4206,view block times,200,OK,Thread Group 1-462,text,true,,218,342,1920,1920,http://34.159.148.128/api/Appointment/blocktime?resourceName=mangoco,4206,0,0
1695071498833,93,view books,200,OK,Thread Group 1-1819,text,true,,276,381,1919,1919,http://34.159.148.128/api/Appointment/bookedAppointements?resourceName=mangoco&serviceName=manga-collecting,93,0,0
1695071498837,90,get services,200,OK,Thread Group 1-2598,text,true,,244,323,1919,1919,http://34.159.148.128/api/Service/get?companyId=3,90,0,0
1695071498741,187,login,200,OK,Thread Group 1-2634,text,true,,327,288,1919,1919,http://34.159.148.128/api/Account/login,187,0,91
1695071498840,89,view books,200,OK,Thread Group 1-1982,text,true,,276,381,1920,1920,http://34.159.148.128/api/Appointment/bookedAppointements?resourceName=mangoco&serviceName=manga-collecting,89,0,0
1695071498842,89,get services,200,OK,Thread Group 1-638,text,true,,244,323,1921,1921,http://34.159.148.128/api/Service/get?companyId=3,89,0,0
1695071498843,90,view books,200,OK,Thread Group 1-1963,text,true,,276,381,1921,1921,http://34.159.148.128/api/Appointment/bookedAppointements?resourceName=mangoco&serviceName=manga-collecting,90,0,0
